sentence1,sentence2,label
लोकेश राहुल मैच के दूसरे दिन 158 रन बनाकर आउट हुए।,वेस्ट इंडीज के बॉलर शैनन गेब्रिएल।,NP
"मुझे उन्नीस सौ निन्यानब्बे में उस वक्त बहुत बुरा लगा था जब उन्होंने वेस्टइंडीज के खिलाफ सीरीज के अंतिम टेस्ट में मुझे टीम से  बाहर रखा  था,'","मुझे उन्नीस सौ निन्यानब्बे  में उस वक्त बहुत बुरा लगा था, जब उन्होंने वेस्ट इंडीज के खिलाफ सीरीज के आखिरी टेस्ट में मुझे टीम में शामिल नहीं किया।",P
बिल्ली एक बोतल को चाट रही है,बिल्ली बोतल को चाट रही है,P
बर्फ से ढकी एक समुद्र तट पर एक कुत्ता अकेला खेल रहा है,एक कुत्ता बर्फ से ढका किनारे पर अकेला खेल रहा है,P
रोमांटिक कॉमिडी फिल्म 'तनु वेड्स मनु रिटर्न्स' में मुश्किल में घिरी एक पत्नी (तनु) और हरियाणा की खिलाड़ी दत्तो की दोहरी भूमिका निभाने के लिए कंगना ने यह अवॉर्ड जीता।,कंगना को फिल्म 'तनु वेड्स रिटर्न्स' के लिए सर्वश्रेष्ठ अभिनेत्री चुना गया है,P
दो महिलाएं नृत्य कर रही हैं,दो महिलाएं नृत्य नहीं कर रही हैं,NP
 इसी वजह से ईडी ने स्पेशल कोर्ट में अर्जी दी थी।,ईडी ने इन्ही कारणों से स्पेशल कोर्ट में अर्जी दी थी।,P
"यदि वे एयर फ़्रेट के ज़रिए चीज़ों को भेजते हैं, तो कुछ रूट्स पर अनलोडिंग करने और कस्टम के लिए कुछ दिन लग सकते हैं.",अगर वे हवाई जहाज से माल भेजते थे तो कुछ मार्गों पर माल उतारने और सीमा शुल्क से गुजरने में कई दिन लग जाते थे।,P
मोदी अगले महीने चीन में होने वाले जी 20 समिट से पहले वियतनाम जाएंगे। 3 सितंबर को मोदी राजधानी हनोई में होंगे।   4 से 5 सितंबर को चीन में जी 20 समिट होनी है। ,  अफसरों की मानें तो मोदी इस दौरान वियतनाम को फौजी ताकत बढ़ाने में मदद का प्रपोजल भी दे सकते हैं। ,NP
"टाइम मैगजीन की विश्व के सौ प्रभावशाली हस्तियों की सूची में भारतीय रिजर्व बैंक (आरबीआई) के गवर्नर रघुराम राजन, शामिल हैं।",(आरबीआई) गवर्नर राजन भी टाइम्स की सूची में शामिल|,P
पेशावर की बाचा खान यूनिवर्सिटी में आतंकी हमला|,"उन्होंने कहा, 'दर्शक भी इसे  देखने का लुत्फ उठाते हैं।",NP
कई बार तकनीक आपके खिलाफ भी चली जाती है,कई बार तकनीक आपका साथ नहीं देती|,P
सूत्रों ने बताया शरीफ को यह 'भारतीय राजस्थानी गुलाबी साफा' शुक्रवार को यहां आए भारत के प्रधानमंत्री मोदी ने दिया था|,"समारोह में करीब दो हज़ार  मेहमान शामिल हुए, जिनमें सऊदी अरब से आए कुछ अति विशिष्ट मेहमान भी थे।",NP
सीबीआइ की पूछताछ के दूसरे दिन पूर्व वायुसेनाध्यक्ष एसपी त्यागी ने फिनमैकेनिका कंपनी के सीओओ (चीफ ऑपरेटिंग आफिसर) से मुलाकात की बात मान ली|,अगस्ता वेस्टलैंड हेलीकॉप्टर खरीद घोटाले में अब कांग्रेस उपाध्यक्ष राहुल गांधी के करीबी कनिष्क सिंह का भी नाम लपेटे में आ गया है।,NP
एक कटोरे में सामग्री डालने वाली कोई महिला नहीं है,एक महिला एक कटोरे में सामग्री डाल रही है,NP
मोटरसाइकिल पर व्यक्ति एक हाथ उठा रहा है,मोटरसाइकिल पर व्यक्ति एक हाथ नहीं उठा रहा है,NP
तंजील मर्डर : शादी में आए तीन अनजान शख्स की तलाश तेज,"भारत का गलत नक्शा दिखाने पर सात साल की कैद, सौ  करोड़ का जुर्माना|",NP
कोई एक वोक में सामग्री डाल रहा है,किसी ने एक वोक में सामग्री नहीं डाल रहा है,NP
पचहत्तर पाकिस्तानी तीर्थयात्रियों जो की आगरा के नजदीक धार्मिक स्थल पर जाना चाहते थे उन्हें भारत ने वीजा देने से इंकार किया|,भारत ने आगरा के नजदीक के एक धार्मिक स्थल जाने के लिए पचहत्तर् पाकिस्तानी यात्रियों को ‘प्रक्रियात्मक मुद्दों’ के कारण वीजा देने से इनकार कर दिया है।,P
कोई अनुभवी नहीं है जो कुछ लोगों को युद्ध की चीजें दिखाता है,एक अनुभवी कुछ लोगों को युद्ध से अलग चीजें दिखा रहा है,NP
"स्वयंसेवकों ने खेल के मैदान की सफाई की, बेंचों को रंगा और परिधि के साथ पेड़ लगाए।","स्वयंसेवकों ने खेल के मैदान की सफाई की, बेंच रंगी और साथ ही पार्क में सूचना बोर्ड और जनसंपर्क पैनल भी लगाए।",NP
शिवसेना ने केंद्र पर निशाना साधते हुए कहा कि आखिरकार मोदी सरकार ने इस फैसले पर मुहर अपने राजनीतिक स्वार्थ के कारण ही लगाया था लेकिन अदालत ने ये कोशिश नाकाम कर दी।,आज मिलेंगे भारत-पाक के विदेश सचिव|,NP
कोई भी महिला एक खरगोश को आटा में डुबोती नहीं है,एक महिला एक खरगोश को आटा में डुबो रही है,NP
दो अलग-अलग नस्लों के कुत्ते सड़क के पार एक-दूसरे को देख रहे हैं,"एक कुत्ता, जो काला है, और एक सफेद सड़क पर एक दूसरे को अनदेखा कर रहे हैं",NP
बताया जाता है कि वे लंदन से एक घंटे की दूरी पर हर्टफोर्डशायर के टेविन टाउन में बेकर स्ट्रीट के एक बंगले में रह रहे हैं।, 9 हजार करोड़ से ज्यादा का कर्ज है माल्या पर। ,NP
नाटककार ने स्क्रिप्ट अपनी मार्गदर्शिका और स्थानीय थिएटर समूह को समर्पित की।,नाटककार ने स्क्रिप्ट अपने मेंटर और थिएटर समूह को समर्पित की।,NP
दो पुरुष एक रिंग में मुट्ठी लड़ रहे हैं,दो लोग एक रिंग में मुट्ठी लड़ रहे हैं,P
एक काला और एक सफेद कुत्ता खुशी से घास पर दौड़ रहे हैं,"एक कुत्ता, जिसमें एक काला कोट है, और एक सफेद कुत्ता घास पर दौड़ रहे हैं",P
क्या कप्तान ने की थी दो हज़ार चौदह  में मैनचेस्टर टेस्ट में फिक्सिंग?,क्या फिक्स था भारत और इंग्लैंड का मैनचेस्टर टेस्ट मैच'?,P
विलफुल डिफॉल्टर हैं माल्या: स्टेट बैंक,महाकाल नगरी उज्जैन में शुक्रवार को सिंहस्थ कुंभ का श्रीगणेश किया गया।,NP
गायों के लिए उपयुक्त टोपी में आदमी एक बाजार के माध्यम से चल रहा है और अपनी जेब में एक हाथ डाल रहा है,टोपी में एक आदमी एक दुकान के माध्यम से चल रहा है,P
बैंगनी रंग की शर्ट में एक आदमी एक काले शर्ट में एक आदमी को देख रहा है जो एक अजीब चेहरा कर रहा है,बैंगनी रंग की एक शर्ट में एक आदमी एक काले शर्ट में एक आदमी को देख रहा है जो एक चेहरे है जो अजीब लग रहा है,P
उनके एन.आर.आई. होने की वजह से उनसे विदेश में मौजूद संपत्ति की जानकारी नहीं मांगी जा सकती है|,"उनका पूरा परिवार एनआरआई है, इस कारण उनकी प्रॉपर्टी के बारे में जानकारी मांगने का हक भारत में किसी को नहीं है।",P
बिल्ली एक डिश से दूध को चाट रही है,बिल्ली को दूध के सॉस का एक लीक दिया जा रहा है,NP
इस सीज़न में बीमारी के शुरुआती मामले जुलाई के आखिर में सामने आए थे.,जुलाई के अंत में इस सीजन में इस बीमारी के पहले मामले सामने आए थे ।,P
संगीता ने अपने पति के खिलाफ दहेज और जबरन यौन संबंध बनाने समेत कई मामलों में शिकायत दर्ज कराया हुआ है।,पठानकोट: सुरक्षाबलों को बीस रूपये देकर भैंस चराने एयरबेस में घुसते थे लोग|,NP
उत्तराखंडः हाईकोर्ट  का सख्त कमेंट- कभी-कभी प्रेसिडेंट भी गलत हो सकते हैं,उत्तराखंड हाईकोर्ट ने कहा राष्ट्रपति भी हो सकते हैं गलत|,P
  वेस्ट इंडीज की इनिंग में कुल 21 छक्के लगे।,  हालांकि इसके बाद तीसरे विकेट के लिए रोहित शर्मा ने लोकेश राहुल के साथ 89 रन की पार्टनरशिप की और टीम को मजबूती दी।,NP
पृथ्वी-दो देश में निर्मित मिसाइल है। ,स्वदेश में विकसित मिसाइल है पृथ्वी-दो,P
आरक्षण पर खरोंच तक नहीं आने देंगे मोदी,उनकी सरकार आरक्षण पर खरोंच तक न आने देगी।,P
रोहित शर्मा और विराट कोहली की दो सौ सात रनों की साझेदारी जो ऑस्ट्रेलिया के खिलाफ दूसरे विकेट के लिये अब तक की सबसे बड़ी साझेदारी है।,रोहित और कोहली की यह साझेदारी दूसरे विकेट के लिए ऑस्ट्रेलिया के खिलाफ अब तक की सबसे बड़ी साझेदारी है।,P
शनिवार तक 13 जिले आग की चपेट में आ चुके हैं।,यह आग राज्य के सभी 13 जिलों के जंगलों तक फैल चुकी है।,P
दो लोग बर्फ में सोने के कोट के साथ दो कुत्तों के साथ चल रहे हैं,दो लोग बर्फ में हैं दो कुत्तों को गोल्डन कोट के साथ पकड़ते हैं,NP
इसी दौरान स्कूल की प्रिंसीपल किरणबाला प्रेयर ग्राउंड में आईं तो वे गुस्सा हो गईं और ग्राउंड में खड़े लड़कों को मुर्गा बना दिया और लड़कियों से उठक-बैठक लगवाई।,कई लड़कियों के पैरों में इस दौरान दर्द होने लगा। मुर्गा बने लड़कों की हालत भी ख़राब हो गई।,NP
उत्तर प्रदेश विधानसभा चुनाव: राहुल सीएम पद के लिए पहली पसंद|,"उत्तराखंड संकट: बहुमत परीक्षण पर केंद्र कर रहा विचार, शुक्रवार को होगा तय|",NP
गुजरात में ही पकड़ा गया दो हज़ार दो के गोधरा कांड का मास्टरमाइंड फारुक|,भारत का पहला स्वदेशी स्पेस शटल आरएलवी-टीडी  सफलतापूर्वक लॉन्च|,NP
चार लोग शहर की गलियारे पर चल रहे हैं और हरी टोपी में से एक मोबाइल पर बात कर रहा है,लोगों का एक समूह सड़क पर चल रहा है और टोपी में एक व्यक्ति फोन पर है,P
त्योहार में कारीगर पारंपरिक बुनाई तकनीकों का प्रदर्शन कर रहे थे और हस्तनिर्मित कपड़े बेच रहे थे।,फेस्टिवल में artisans ने ट्रेडिशनल weaving टेक्नीक दिखाई और हैंडमेड फैब्रिक्स बेचे।,P
मशीन एक पेंसिल नहीं बालों को काट रही है,एक मशीन पेंसिल को तेज कर रही है,NP
दो वयस्क पीले फूलों के खेत में एक स्कूटर पर खड़े हैं,दो वयस्क पीले फूलों के खेत में एक स्कूटर पर खड़े नहीं हैं,NP
ज़्यादातर कीटों को अपने पंख को वापस अपने शरीर पर ओढ़ लेने का फायदा होता है।,ज्यादातर कीटों को शरीर के साथ-साथअपने पंखों को वापस मोड़ने का लाभ मिलता है।,NP
 रात को दो बजे कुत्तों के भौंकने पर दोनों सेल्समैन उठे।, डरकर दोनों सेल्समैन पास के ही एक खेत में भाग खड़े हुए।,NP
इस बीच पंप मालिक ने पुलिस को सूचना दे दी थी। मिनटों में ही पुलिस भी वहां पहुंच गई।,बदमाश रातभर पुलिस से छिपते रहे और सुबह करीब  सात बजे पुलिस ने उन्हें दबोच लिया।,NP
शपथ समारोह में बीजेपी की ओर से सेंट्रल मिनिस्टर वेंकैया नायडू और जितेंद्र सिंह चीफ गेस्ट थे|,शपथ समारोह में बीजेपी की ओर से सेंट्रल मिनिस्टर वेंकैया नायडू और जितेंद्र सिंह मुख्य अतिथी थे|,P
आग बढ़ने  से जंगली जानवर भोजन की तलाश में इधर-उधर भटक रहे हैं।,आग बढ़ने की वजह से वन्य प्राणी रिहायशी इलाकों की तरफ जा रहे हैं।,P
"2002 में गोमा को न्यिरगोंगो ज्वालामुखी ने लावा द्वारा नष्ट कर दिया गया था, जिसने शहर की अधिकांश सड़कों, विशेष रूप से शहर के बीच के भाग को दफन कर दिया था।","2002 में गोमा को नीरागोगोज्वालामुखी से लावा ने नष्ट कर दिया था, जिसने अधिकांश कस्बों की सड़कों, विशेषकर कस्बे के केन्द्र को दफन कर दिया था।",NP
बांग्लादेश को पहला झटका सौम्या सरकार के रूप में लगा वे सिर्फ एक  रन बनाकर वॉटसन की बॉल पर आउट हुए।,पहले बल्लेबाजी करने उतरी बांग्लादेश की टीम को पहला झटका दूसरे ही ओवर में सौम्य सरकार (एक ) के रूप में लगा जिनको वॉटसन ने मैक्सवेल के हाथों कैच कराया।,P
"दाऊद को गैंग्रीन की खबर पर बोला छोटा शकील, 'भाई एकदम फिट'",विवाद के बीच लीक हुई कंगना और रितिक की आपतिजनक फोटो|,NP
मीडिया में खबर आने के बाद रणनीति बनाने के लिए भाजपा अध्यक्ष अमित शाह और वित्त मंत्री अरूण जेटली सहित पार्टी के वरिष्ठ नेताओं की मंगलवार को यहां बैठक हुई|,इटली की एक अदालत द्वारा वीवीआईपी हेलीकॉप्टर खरीद घोटाले में अगस्ता वेस्टलैंड कंपनी को घूस देने की पुष्टि और दोषी करार दिए जाने के बाद भारतीय जनता पार्टी इसे कांग्रेस के खिलाफ मजबूत हथियार बनाने जा रही है।,NP
"प्रवक्ता के मुताबिक, उन्होंने वहां तैनात जवानों पर हमला बोला। बंकर में तोड़-फोड़ की और बंकर में आग लगाने का प्रयास किया।",आरोप है कि इन लोगों ने सेना के एक बंकर में आग लगाने की भी कोशिश की|,NP
