word,antonym,word_hi,antonym_hi
abactinal,actinal,अयोग्य,एक प्रकार का
abaft,fore,जहाज़ की पतवार की ओर,आगे का
abaft,forward,जहाज़ की पतवार की ओर,आगे
abaxial,adaxial,अछूता,अखिल
abaxial,ventral,अछूता,उदर
abaxially,adaxially,सुप्रीम,अखंडता से
abbreviate,dilate,संक्षिप्त,चौड़ा करना
abbreviate,elaborate,संक्षिप्त,विस्तार में बताना
abbreviate,enlarge,संक्षिप्त,बड़े आकार में
abbreviate,expand,संक्षिप्त,बढ़ाना
abbreviate,expatiate,संक्षिप्त,लंबी-चौड़ी बातें बढ़ाना
abbreviate,exposit,संक्षिप्त,अनावृत
abbreviate,expound,संक्षिप्त,व्याख्या करना
abbreviate,flesh out,संक्षिप्त,मांस बाहर
abbreviate,lucubrate,संक्षिप्त,बीतना
abducent,adducent,अपकर्षिणी,लाना
abducent,adducting,अपकर्षिणी,व्यसनी
abducent,adductive,अपकर्षिणी,जोड़ा
abduct,adduct,अपहरण,अभिवर्तन
abducting,adducent,भगा रहा है,लाना
abducting,adducting,भगा रहा है,व्यसनी
abducting,adductive,भगा रहा है,जोड़ा
abidance,disobedience,पालन,आज्ञा का उल्लंघन
abidance,noncompliance,पालन,गैर अनुपालन
abidance,nonconformance,पालन,असंबद्धता
abidance,nonconformity,पालन,अवज्ञा
abide by,disrespect,के द्वारा पालन,अपमानित करना
abience,adience,अयोग्यता,नक़ली
abient,adient,अयोग्य,उपयुक्त
ability,inability,क्षमता,अक्षमता
ability,unfitness,क्षमता,अयोग्यता
able,unable,योग्य,असमर्थ
ably,displaying incompetence,प्रवीणता से,अक्षमता प्रदर्शित करना
ably,incompetently,प्रवीणता से,अयोग्यतापूर्वक
abnormal,normal,असामान्य,सामान्य
abnormalcy,normalcy,असामान्य,सामान्यता
abnormalcy,normality,असामान्य,साधारण अवस्था
abnormality,normalcy,असामान्यता,सामान्यता
abnormality,normality,असामान्यता,साधारण अवस्था
abolish,establish,समाप्त करना,स्थापित करना
abolish,found,समाप्त करना,मिला
abolish,launch,समाप्त करना,शुरू करना
abolish,set up,समाप्त करना,स्थापित करना
aborad,orad,अबोरद,ओराड
aboral,oral,एबोरल,मौखिक
aboriginal,nonnative,आदिवासी,अकारण
above,at a lower place,ऊपर,एक निचले स्थान पर
above,below,ऊपर,नीचे
above,beneath,ऊपर,नीचे
above,to a lower place,ऊपर,एक निचले स्थान पर
aboveboard,deceitfully,उपरोक्त,छल से
aboveboard,dishonestly,उपरोक्त,बेईमानी से
aboveboard,venally,उपरोक्त,वंश के रूप में
abranchial,branchiate,शानदार,काम करना
abranchial,gilled,शानदार,गरम किया हुआ
abranchiate,branchiate,अखिल,काम करना
abranchiate,gilled,अखिल,गरम किया हुआ
abranchious,branchiate,अयोग्य,काम करना
abranchious,gilled,अयोग्य,गरम किया हुआ
abridge,dilate,संक्षेप करना,चौड़ा करना
abridge,elaborate,संक्षेप करना,विस्तार में बताना
abridge,enlarge,संक्षेप करना,बड़े आकार में
abridge,expand,संक्षेप करना,बढ़ाना
abridge,expatiate,संक्षेप करना,लंबी-चौड़ी बातें बढ़ाना
abridge,exposit,संक्षेप करना,अनावृत
abridge,expound,संक्षेप करना,व्याख्या करना
abridge,flesh out,संक्षेप करना,मांस बाहर
abridge,lucubrate,संक्षेप करना,बीतना
abridged,unabridged,संक्षिप्त,तमाम
abruptness,gentleness,आकस्मिकता,सौम्यता
abruptness,gradualness,आकस्मिकता,क्रमिकता
absence,presence,अनुपस्थिति,उपस्थिति
absent,present,अनुपस्थित,उपस्थित
absolute,comparative,निरपेक्ष,तुलनात्मक
absolute,relative,निरपेक्ष,रिश्तेदार
absolve,blame,दोषमुक्त करना,दोष
absolve,fault,दोषमुक्त करना,गलती
absorb,emit,अवशोषित करना,फेंकना
absorb,give off,अवशोषित करना,छोड़ना
absorb,give out,अवशोषित करना,बांट दें
absorbable,adsorbable,अवशोषित,सोखने योग्य
absorbable,adsorbate,अवशोषित,सोखना
absorbency,nonabsorbency,अवशेषी,नोकसर्बिशन
absorbent,nonabsorbent,शोषक,नॉनबसोरबेंट
absorbent,nonabsorptive,शोषक,अखंड
absorptive,nonabsorbent,अवशोषण,नॉनबसोरबेंट
absorptive,nonabsorptive,अवशोषण,अखंड
abstain,consume,बचना,उपभोग करना
abstain,have,बचना,पास होना
abstain,ingest,बचना,निगलना
abstain,take,बचना,लेना
abstain,take in,बचना,ले लेना
abstainer,drinker,परहेजगार,वाली
abstainer,imbiber,परहेजगार,डुबाना
abstainer,juicer,परहेजगार,जूसर
abstainer,toper,परहेजगार,पियक्कड़
abstemious,gluttonous,निरंकुश,भक्षक
abstinent,drinker,संयमी,वाली
abstinent,imbiber,संयमी,डुबाना
abstinent,juicer,संयमी,जूसर
abstinent,toper,संयमी,पियक्कड़
abstract,concrete,अमूर्त,ठोस
abstractly,concretely,संक्षेप में,वस्तुतः
abstractness,concreteness,अमूर्तता,स्थूलता
abstruseness,clarity,बेवजह,स्पष्टता
abstruseness,clearness,बेवजह,स्पष्टता
abstruseness,limpidity,बेवजह,पारदर्शकता
abstruseness,lucidity,बेवजह,स्पष्टता
abstruseness,lucidness,बेवजह,स्पष्टता
abstruseness,pellucidity,बेवजह,पेलुसीसता
abundance,scarceness,प्रचुरता,विरलता
abundance,scarcity,प्रचुरता,कमी
abundant,scarce,प्रचुर,अपर्याप्त
abused,unabused,दुर्व्यवहार,अयोग्य
acanthopterygian,malacopterygian,अकाटोप्ट्रीज,चालाक
acanthopterygian,soft-finned fish,अकाटोप्ट्रीज,मुलायम मछली
acapnia,hypercapnia,एक प्रकार का,हाइपरकेपनिया
acapnia,hypercarbia,एक प्रकार का,हाइपरकार्बिया
acarpellous,carpellate,अक्रिय,कार्पेलेट
acarpellous,pistillate,अक्रिय,पुष्प-योनि-संबंधी
acarpelous,carpellate,एक प्रकार का,कार्पेलेट
acarpelous,pistillate,एक प्रकार का,पुष्प-योनि-संबंधी
acatalectic,catalectic,एक प्रकार का,उत्प्रेरक
acatalectic,hypercatalectic,एक प्रकार का,अतिवृष्टि संबंधी
acaudal,caudate,अकाउडल,पूंछवाला
acaudal,caudated,अकाउडल,पुष्पित
acaudate,caudate,पैकेट,पूंछवाला
acaudate,caudated,पैकेट,पुष्पित
acaulescent,caulescent,एक प्रकार का,डंडीवाला
acaulescent,cauline,एक प्रकार का,तने का
acaulescent,stemmed,एक प्रकार का,उपजी
accede,dissent,मान लेना,मतभेद
accelerate,decelerate,तेजी लाने,धीमा
accelerate,retard,तेजी लाने,काम करना
accelerate,slow,तेजी लाने,धीमा
accelerate,slow down,तेजी लाने,गति कम करो
accelerate,slow up,तेजी लाने,धीरे करो
acceleration,deceleration,त्वरण,मंदी
acceleration,retardation,त्वरण,बाधा
acceleration,slowing,त्वरण,धीमा
accelerator,anticatalyst,त्वरक,रोग -संबंधी
accented,atonic,उच्चारण,निर्बल
accented,unaccented,उच्चारण,निर्बल
accented,unstressed,उच्चारण,निर्बल
accentual,quantitative,रागानी,मात्रात्मक
accentual,syllabic,रागानी,शब्दांश का
accept,decline,स्वीकार करना,गिरावट
accept,pass up,स्वीकार करना,हाथ से जाने देना
accept,refuse,स्वीकार करना,अस्वीकार करना
accept,reject,स्वीकार करना,अस्वीकार करना
accept,turn down,स्वीकार करना,अस्वीकार करें
acceptability,unacceptability,स्वीकार्यता,अस्वीकार्य
acceptability,unacceptableness,स्वीकार्यता,अस्वीकार्य
acceptable,unacceptable,स्वीकार्य,गवारा नहीं
acceptableness,unacceptability,स्वीकार्यता,अस्वीकार्य
acceptableness,unacceptableness,स्वीकार्यता,अस्वीकार्य
acceptably,intolerably,स्वीकार्य,असह्य
acceptably,unacceptably,स्वीकार्य,अस्वीकार्य
acceptance,rejection,स्वीकार,अस्वीकार
acceptive,rejective,स्वीकार करने वाला,अस्वीकार्य
accessibility,inaccessibility,अभिगम्यता,अप्राप्यता
accessibility,unapproachability,अभिगम्यता,अप्राप्यता
accessibility,unavailability,अभिगम्यता,अनुपलब्धता
accessible,inaccessible,पहुंच योग्य,पर पहुंच-योग्य
accessible,unaccessible,पहुंच योग्य,अस्वीकार्य
accidentally,advisedly,अकस्मात,समझबूझकर
accidentally,by choice,अकस्मात,मर्जी से
accidentally,by design,अकस्मात,डिजाइन द्वारा
accidentally,deliberately,अकस्मात,जान-बूझकर
accidentally,designedly,अकस्मात,जान-बूझकर
accidentally,intentionally,अकस्मात,जानबूझकर
accidentally,on purpose,अकस्मात,जान - बूझकर
accidentally,purposely,अकस्मात,जानबूझकर
acclaim,boo,एक्लेम,बू
acclaim,hiss,एक्लेम,फुफकार
acclivity,declension,चढ़ाना,अवनति
acclivity,declination,चढ़ाना,झुकाव
acclivity,decline,चढ़ाना,गिरावट
acclivity,declivity,चढ़ाना,ढार
acclivity,descent,चढ़ाना,चढ़ाई
acclivity,downslope,चढ़ाना,डाउडलोप
acclivity,fall,चढ़ाना,गिरना
accommodate,disoblige,समायोजित करना,अक्षम
accommodating,unaccommodating,मिलनसार,बिना सुविधा
accommodating,unobliging,मिलनसार,अनियंत्रित
accommodative,unaccommodating,उदार,बिना सुविधा
accommodative,unobliging,उदार,अनियंत्रित
accompanied,unaccompanied,के साथ,बिना साथी
accord,disagreement,एकॉर्ड,बहस
accord,dissension,एकॉर्ड,कलह
accord,dissonance,एकॉर्ड,मतभेद
accordant,discordant,देने,बेताल
accrual basis,cash basis,प्रोद्भवन आधार,नकद आधार
accuracy,inaccuracy,शुद्धता,अशुद्धता
accurate,inaccurate,शुद्ध,ग़लत
accurately,inaccurately,सही रूप में,गलत ढंग से
accusatorial,inquisitorial,अभियोजक,जिज्ञासु
accustomed,unaccustomed,आदी,अनभ्यस्त
acellular,cellular,अकोशिकीय,सेलुलर
acetify,alkalify,पीड़ा देना,क्षार बनाना
acetify,alkalise,पीड़ा देना,क्षारीय
acetify,alkalize,पीड़ा देना,क्षीण करना
acetify,basify,पीड़ा देना,जासूसी करना
acetify,dulcify,पीड़ा देना,मधुर करना
acetify,dulcorate,पीड़ा देना,मधुरता से
acetify,edulcorate,पीड़ा देना,गला घोंटना
acetify,sweeten,पीड़ा देना,मीठा
achiever,failure,अचीवर,असफलता
achiever,loser,अचीवर,परास्त
achiever,nonstarter,अचीवर,अखंड
achiever,unsuccessful person,अचीवर,असफल व्यक्ति
achlamydeous,chlamydeous,एक प्रकार का,क्लैमाइडस
achondritic,chondritic,एक प्रकार का,चोंड्रिटिक
achondritic,granular,एक प्रकार का,बारीक
achromatic,chromatic,बिना रंग का,रंगीन
achromatic color,chromatic color,आक्रोशिक रंग,रंगीन रंग
achromatic color,chromatic colour,आक्रोशिक रंग,रंगीन रंग
achromatic color,spectral color,आक्रोशिक रंग,वर्णक्रमीय रंग
achromatic color,spectral colour,आक्रोशिक रंग,वर्णक्रमीय रंग
achromatic colour,chromatic color,आक्रोशिक रंग,रंगीन रंग
achromatic colour,chromatic colour,आक्रोशिक रंग,रंगीन रंग
achromatic colour,spectral color,आक्रोशिक रंग,वर्णक्रमीय रंग
achromatic colour,spectral colour,आक्रोशिक रंग,वर्णक्रमीय रंग
achromaticity,color,अस्तित्व,रंग
achromaticity,coloring,अस्तित्व,रंग
achromaticity,colour,अस्तित्व,रंग
achromaticity,colouring,अस्तित्व,करते रंग
achromatinic,chromatinic,घनत्व संबंधी,क्रोमेटिनिक
achromatism,color,वर्णशून्य,रंग
achromatism,coloring,वर्णशून्य,रंग
achromatism,colour,वर्णशून्य,रंग
achromatism,colouring,वर्णशून्य,करते रंग
acid-loving,alkaline-loving,एसिड प्यार,क्षारीय
acidic,alkalic,अम्लीय,सोडे का
acidic,alkaline,अम्लीय,क्षारीय
acidic,amphiprotic,अम्लीय,उभय -संबंधी
acidic,amphoteric,अम्लीय,उभय -संबंधी
acidify,alkalify,अम्ल करना,क्षार बनाना
acidify,alkalise,अम्ल करना,क्षारीय
acidify,alkalize,अम्ल करना,क्षीण करना
acidify,basify,अम्ल करना,जासूसी करना
acidify,dulcify,अम्ल करना,मधुर करना
acidify,dulcorate,अम्ल करना,मधुरता से
acidify,edulcorate,अम्ल करना,गला घोंटना
acidify,sweeten,अम्ल करना,मीठा
acidity,alkalinity,अम्लता,क्षारीयता
acidulate,dulcify,फजीदार,मधुर करना
acidulate,dulcorate,फजीदार,मधुरता से
acidulate,edulcorate,फजीदार,गला घोंटना
acidulate,sweeten,फजीदार,मीठा
acknowledge,deny,स्वीकार करना,अस्वीकार करना
acknowledged,unacknowledged,स्वीकार किया,क्षुद्र
acquaintance,alien,जान-पहचान,विदेशी
acquaintance,stranger,जान-पहचान,अजनबी
acquaintance,unknown,जान-पहचान,अज्ञात
acquiesce,dissent,संतुष्ट होना,मतभेद
acquire,lose,अधिग्रहण करना,खोना
acquisitive,unacquisitive,प्राप्त करने की लालसावाला,बेकार
acquit,convict,बरी करना,मिद्धदोष अपराधी
acquittal,condemnation,दोषमुक्ति,निंदा
acquittal,conviction,दोषमुक्ति,दृढ़ विश्वास
acquittal,judgment of conviction,दोषमुक्ति,सजा का निर्णय
acquittal,sentence,दोषमुक्ति,वाक्य
acrocarp,pleurocarp,एकरोकार्प,प्लीउरोकार्प
acrocarp,pleurocarpous moss,एकरोकार्प,फुफ्फुसीय काई
acrocarpous,pleurocarpous,एक प्रकार का,फुफ्फुसीय
acrocarpous moss,pleurocarp,एक प्रकार का काई,प्लीउरोकार्प
acrocarpous moss,pleurocarpous moss,एक प्रकार का काई,फुफ्फुसीय काई
acropetal,basipetal,एक प्रकार का,basipetal
acroscopic,basiscopic,एक प्रकार का,मूल संकेंद्रण
act,forbear,कार्य,पूर्वज
act,refrain,कार्य,रोकना
actable,unactable,अभिनय करने योग्य,अविभाज्य
actinal,abactinal,एक प्रकार का,अयोग्य
actinomorphic,bilaterally symmetrical,एक्टिनोमोर्फिक,द्विपक्षीय रूप से सममितीय
actinomorphic,zygomorphic,एक्टिनोमोर्फिक,ज़ीगोमोर्फिक
actinomorphic,zygomorphous,एक्टिनोमोर्फिक,ज़ीगोमोर्फस
actinomorphous,bilaterally symmetrical,एक्टिनोमोर्फस,द्विपक्षीय रूप से सममितीय
actinomorphous,zygomorphic,एक्टिनोमोर्फस,ज़ीगोमोर्फिक
actinomorphous,zygomorphous,एक्टिनोमोर्फस,ज़ीगोमोर्फस
action,inaction,कार्रवाई,निष्क्रियता
action,inactiveness,कार्रवाई,सक्रिय निष्क्रियता
action,inactivity,कार्रवाई,निष्क्रियता
activate,deactivate,सक्रिय करना,निष्क्रिय करें
activate,inactivate,सक्रिय करना,निष्क्रिय
activation,deactivation,सक्रियण,क्रियाशीलता छोड़ना
activation,defusing,सक्रियण,को कम करने
activation,inactivation,सक्रियण,निष्क्रियता
activator,inhibitor,उत्प्रेरक,अवरोधक
active,dormant,सक्रिय,प्रसुप्त
active,extinct,सक्रिय,विलुप्त
active,inactive,सक्रिय,निष्क्रिय
active,passive,सक्रिय,निष्क्रिय
active,passive voice,सक्रिय,कर्मवाच्य
active,quiet,सक्रिय,शांत
active,stative,सक्रिय,सख्त
active trust,passive trust,सक्रिय विश्वास,पैसिव ट्रस्ट
active voice,passive,सक्रिय आवाज,निष्क्रिय
active voice,passive voice,सक्रिय आवाज,कर्मवाच्य
actively,passively,सक्रिय,निष्क्रिय
activeness,inaction,सक्रियता,निष्क्रियता
activeness,inactiveness,सक्रियता,सक्रिय निष्क्रियता
activeness,inactivity,सक्रियता,निष्क्रियता
activeness,inertia,सक्रियता,जड़ता
activity,inaction,गतिविधि,निष्क्रियता
activity,inactiveness,गतिविधि,सक्रिय निष्क्रियता
activity,inactivity,गतिविधि,निष्क्रियता
activity,inertia,गतिविधि,जड़ता
actual,possible,वास्तविक,संभव
actual,potential,वास्तविक,संभावना
actual sin,original sin,वास्तविक पाप,मूल पाप
acute,chronic,तीव्र,दीर्घकालिक
acute,obtuse,तीव्र,कुंठित
acutely,chronically,तीव्रता से,लंबे समय से
acuteness,obtuseness,तीक्ष्णता,जड़ता
acyclic,cyclic,अचक्रीय,चक्रीय
adaptability,unadaptability,अनुकूलन क्षमता,असंबद्धता
adaptable,unadaptable,अनुकूलनीय,पहुंच से बाहर का
adaptative,maladaptive,अनुकूली,कु-अनुकूलित
adaptive,maladaptive,अनुकूली,कु-अनुकूलित
adaxial,abaxial,अखिल,अछूता
adaxial,dorsal,अखिल,पृष्ठीय
adaxially,abaxially,अखंडता से,सुप्रीम
add,deduct,जोड़ना,काटना
add,subtract,जोड़ना,घटाना
add,take away,जोड़ना,ले लेना
add,take off,जोड़ना,उड़ान भरना
add,take out,जोड़ना,साथ ले जाएं
add together,deduct,एक साथ जोड़ें,काटना
add together,subtract,एक साथ जोड़ें,घटाना
add together,take off,एक साथ जोड़ें,उड़ान भरना
addicted,unaddicted,आदी,अचूक
addictive,nonaddictive,नशे की लत,अविभाज्य
addition,deduction,जोड़ना,कटौती
addition,subtraction,जोड़ना,घटाव
additive,nonlinear,additive,अरेखीय
additive,subtractive,additive,घटिया
addressed,unaddressed,संबोधित,बिना पते
adducent,abducent,लाना,अपकर्षिणी
adducent,abducting,लाना,भगा रहा है
adduct,abduct,अभिवर्तन,अपहरण
adducting,abducent,व्यसनी,अपकर्षिणी
adducting,abducting,व्यसनी,भगा रहा है
adductive,abducent,जोड़ा,अपकर्षिणी
adductive,abducting,जोड़ा,भगा रहा है
adequacy,deficiency,पर्याप्तता,कमी
adequacy,inadequacy,पर्याप्तता,अनुविता
adequacy,inadequateness,पर्याप्तता,अपर्याप्तता
adequacy,insufficiency,पर्याप्तता,कमी
adequate,inadequate,पर्याप्त,अपर्याप्त
adequate,unequal,पर्याप्त,असमान
adequately,inadequately,पर्याप्त रूप से,अपर्याप्त
adequateness,inadequacy,पर्याप्तता,अनुविता
adequateness,inadequateness,पर्याप्तता,अपर्याप्तता
adhesive,nonadhesive,गोंद,अखंड
adiabatic,diabatic,स्थिरोष्म,मधुमेह का
adience,abience,नक़ली,अयोग्यता
adient,abient,उपयुक्त,अयोग्य
adjective,essential,विशेषण,आवश्यक
adjective,substantive,विशेषण,मूल
adjust,skew,समायोजित करना,तिरछा करना
adjusted,maladjusted,समायोजित,असमान
adjusted,unadjusted,समायोजित,असमायोजित
admire,look down on,प्रशंसा करना,को तुच्छ समझना
admissibility,inadmissibility,स्वीकार्यता,अमान्यता
admissible,inadmissible,स्वीकायर्,अस्वीकार्य
admit,deny,स्वीकार करते हैं,अस्वीकार करना
admit,exclude,स्वीकार करते हैं,बाहर करना
admit,keep out,स्वीकार करते हैं,दूर रहो
admit,refuse,स्वीकार करते हैं,अस्वीकार करना
admit,reject,स्वीकार करते हैं,अस्वीकार करना
admit,shut,स्वीकार करते हैं,बंद
admit,shut out,स्वीकार करते हैं,निकाल देना
admit,turn away,स्वीकार करते हैं,लौटाना
admit,turn down,स्वीकार करते हैं,अस्वीकार करें
adnate,connate,adnate,जन्मज
adoptable,unadoptable,ग्रहणीय,अयोग्य
adopted,native,अपनाया,देशी
adoptive,biological,गोद लेने योग्य,जैविक
adoptive,native,गोद लेने योग्य,देशी
adorned,unadorned,विभूषित,अनलंकृत
adorned,undecorated,विभूषित,असज्जित
adroit,maladroit,निपुण,अनाड़ी
adroitly,maladroitly,मुस्तैदी से,अनाड़ी
adscript,inferior,विज्ञापन -पत्र,अवर
adscript,subscript,विज्ञापन -पत्र,सबस्क्रिप्ट
adscript,superior,विज्ञापन -पत्र,बेहतर
adscript,superscript,विज्ञापन -पत्र,ऊपर की ओर लिखा हुआ
adsorbable,absorbable,सोखने योग्य,अवशोषित
adsorbate,absorbable,सोखना,अवशोषित
adsorbent,nonadsorbent,पी लेनेवाला पदार्थ,नॉनडसोरबेंट
adsorbent,nonadsorptive,पी लेनेवाला पदार्थ,अखंड
adsorptive,nonadsorbent,सोखने का,नॉनडसोरबेंट
adsorptive,nonadsorptive,सोखने का,अखंड
adult,juvenile,वयस्क,किशोर
adult,juvenile person,वयस्क,किशोर व्यक्ति
adult female,adult male,वयस्क महिला,वयस्क पुरुष
adult female,man,वयस्क महिला,आदमी
adult male,adult female,वयस्क पुरुष,वयस्क महिला
adult male,woman,वयस्क पुरुष,महिला
adulterant,purifying,मिलावट,सफ़ाई
adulterating,purifying,मिलावट,सफ़ाई
advance,back,अग्रिम,पीछे
advance,break,अग्रिम,तोड़ना
advance,bump,अग्रिम,उभार
advance,demote,अग्रिम,अवनत
advance,draw back,अग्रिम,वापस आ जाना
advance,drop off,अग्रिम,बाहर निकलना
advance,fall back,अग्रिम,मैदान छोड़ना
advance,fall behind,अग्रिम,पिछड़ना
advance,kick downstairs,अग्रिम,नीचे किक करना
advance,lose,अग्रिम,खोना
advance,move back,अग्रिम,वापस जाना
advance,pull away,अग्रिम,दूर करना
advance,pull back,अग्रिम,ठहराना
advance,recede,अग्रिम,दूर जाना
advance,regress,अग्रिम,निकासी
advance,relegate,अग्रिम,बाहर निकाल देना
advance,retire,अग्रिम,रिटायर
advance,retreat,अग्रिम,पीछे हटना
advance,retrograde,अग्रिम,पतित
advance,retrogress,अग्रिम,पतन में होना
advance,withdraw,अग्रिम,निकालना
advancement,retreat,उन्नति,पीछे हटना
advantage,disadvantage,फ़ायदा,नुकसान
advantage,disfavor,फ़ायदा,विराग
advantage,disfavour,फ़ायदा,अनादर
advantage,penalty,फ़ायदा,जुर्माना
advantageous,disadvantageous,लाभदायक,हानिकर
advantageously,badly,फ़ायदेमंद,बुरी तरह से
advantageously,disadvantageously,फ़ायदेमंद,असुविधापूर्वक
advantageousness,unfavorableness,लाभप्रदता,प्रतिकूलता
advantageousness,unfavourableness,लाभप्रदता,अपरिचितता
adventuresome,unadventurous,हिम्मतवाला,अनियंत्रित
adventurous,unadventurous,साहसी,अनियंत्रित
adversary,agonist,वैरी,एगोनिस्ट
advertently,inadvertently,विज्ञापन से,अनजान
advertently,unknowingly,विज्ञापन से,अनजाने में
advertently,unmindfully,विज्ञापन से,बेमिसाल से
advertently,unwittingly,विज्ञापन से,बेइरादा
advisability,inadvisability,औचित्य,अविभाज्यता
advisable,inadvisable,उचित,बेअदब
advisable,unadvisable,उचित,अनियंत्रित
advised,ill-advised,सलाह दी,मूर्ख
advised,unadvised,सलाह दी,अस्वीकरणीय
advisedly,accidentally,समझबूझकर,अकस्मात
advisedly,by chance,समझबूझकर,संयोगवश
advisedly,circumstantially,समझबूझकर,ब्योरे से
advisedly,unexpectedly,समझबूझकर,अप्रत्याशित रूप से
advisedly,unintentionally,समझबूझकर,अनजाने
adynamic,dynamic,वंश -संबंधी,गतिशील
adynamic,dynamical,वंश -संबंधी,गतिरोध संबंधी
aerobic,anaerobic,वायु -संबंधी,अवायवीय
aerobic,anaerobiotic,वायु -संबंधी,एनारोबायोटिक
aerophilic,anaerobic,वायु -संबंधी,अवायवीय
aerophilic,anaerobiotic,वायु -संबंधी,एनारोबायोटिक
aerophilous,anaerobic,वायु -संबंधी,अवायवीय
aerophilous,anaerobiotic,वायु -संबंधी,एनारोबायोटिक
aesthesia,insensibility,सौंदर्यशास्त्र,असंवेदनशीलता
aesthetic,inaesthetic,सौंदर्य संबंधी,अयोग्य
aesthetic,unaesthetic,सौंदर्य संबंधी,असंबद्ध
aesthetical,inaesthetic,aesthetical,अयोग्य
aesthetical,unaesthetic,aesthetical,असंबद्ध
aestivate,hibernate,सौंदर्य करना,सीतनिद्रा में होना
aestivate,hole up,सौंदर्य करना,छेद करो
afebrile,febrile,बुखार नहीं,ज्वर-संबंधी
afebrile,feverish,बुखार नहीं,बुख़ारवाला
affected,unaffected,प्रभावित,अप्रभावित
affected,unmoved,प्रभावित,स्थिर
affected,untouched,प्रभावित,अछूता
affectedness,unaffectedness,प्रभावितता,अप्रभावितता
afferent,efferent,केंद्र पर पहुंचानेवाला,केंद्रत्यागी
afferent,motorial,केंद्र पर पहुंचानेवाला,मोटरसीन
affinity,blood kinship,आत्मीयता,रक्त में
affinity,cognation,आत्मीयता,संज्ञान
affinity,consanguinity,आत्मीयता,रक्तसंबंध
affirm,contradict,वाणी,खंडन
affirm,negate,वाणी,निगेट
affirmation,reversal,प्रतिज्ञान,उलटफेर करना
affirmative,negative,सकारात्मक,नकारात्मक
affirmatory,negative,पुष्टिकरण,नकारात्मक
affixed,loose,चिपका हुआ,ढीला
