sentence1,sentence2,label
दो लोग मोटरसाइकिल नहीं चला रहे हैं,दो लोग मोटरसाइकिल चला रहे हैं,NP
पिल्ला प्लास्टिक के कंटेनर से खेल रहा है,पिल्ला प्लास्टिक के कंटेनर से खेल रहा है,P
आंध्र प्रदेश के श्रीहरिकोटा से आज सुबह पहला स्वदेशी स्पेस शटल  आरएलवी-टीडी  का सफल प्रक्षेपण किया गया। ,सोमवार सुबह श्रीहरिकोटा के सतीश धवन अंतरिक्ष केंद्र से करीब ग्यारह टन वजन वाले रॉकेट का प्रक्षेपण हो गया,P
1984 में बारामती से उन्होंने पहली बार लोकसभा चुनाव जीता।,बारामती से 1984 में  उन्होंने पहली बार लोकसभा चुनाव जीता।,P
पीएम नरेंद्र मोदी के बाद अब कपिल शर्मा का स्टैचू भी मैडम तुसाद संग्रहालय की शोभा बढ़ाएगा।,पा' से चर्चा में आए निहाल नहीं रहे,NP
राज्यसभा की आचार समिति के अध्यक्ष करण सिंह की ओर से उन्हें लिखे गए पत्र का भी जिक्र किया।,25 अप्रैल को हुई एथिक्स कमेटी ने उन्हें 7 दिन का वक्त दिया|,NP
नीले रंग में एक लड़की हरे रंग की स्लाइड से नीचे जा रही है,नीले रंग की लड़की स्लाइड से नीचे जा रही है,P
"पाकिस्तान को करारा जवाब, भारत ने पृथ्वी-2 मिसाइल का किया सफल प्रक्षेपण",पृथ्वी दो मिसाइल का प्रक्षेपण ओडिशा में चांदीपुर परीक्षण रेंज से किया गया ,NP
क्रिकेट जगत के भगवान माने जाने वाले सचिन तेंदुलकर ने भारतीय ओलंपिक संघ के निमंत्रण को स्वीकार कर लिया है,महान क्रिकेटर सचिन तेंदुलकर ने आगामी रियो ओलंपिक खेलों के लिए देश का सद्भावना दूत बनने का भारतीय ओलंपिक संघ (आईआओए) का निमंत्रण स्वीकार कर लिया है,P
मंत्री ने सार्वजनिक संबोधन में सुधार की प्रशंसा प्रगतिशील और समावेशी होने के रूप में की।,मंत्री ने सार्वजनिक भाषण में कहा कि यह सुधार रूढ़िवादी और बहिष्कृत था।,NP
