src,ref,mt,model,category,label
"When the tide receded, the fishermen returned to inspect the nets that had been torn during the storm.","जब ज्वार पीछे हट गया, तो मछुआरे तूफ़ान के दौरान फटे जाल का निरीक्षण करने लौट आए।","जब ज्वार नीचे चला गया, तो मछुआरे तूफ़ान में फटे हुए जाल की जांच करने लौट आए।",dummy_gpt4,Word_synm,P
We must not disclose the identities of protected witnesses to anyone outside the legal team.,हमें संरक्षित गवाहों की पहचान कानूनी टीम के बाहर किसी को नहीं बतानी चाहिए।,हमें संरक्षित गवाहों की पहचान सार्वजनिक रूप से साझा करनी चाहिए।,dummy_gpt4,Negt_flip,NP
The minister claimed the new law would expand citizens' freedoms and rights.,मंत्री ने कहा कि नया कानून नागरिकों की स्वतंत्रताएँ और अधिकार बढ़ाएगा।,मंत्री ने कहा कि नया कानून नागरिकों की स्वतंत्रताएँ और अधिकार कम कर देगा।,dummy_gpt4,Anto_flip,NP
The final invoice will itemize each service rendered and list applicable taxes.,अंतिम चालान में प्रत्येक प्रदान की गई सेवा का विवरण और लागू कर सूचीबद्ध होंगे।,अंतिम चालान प्रत्येक दी गई सेवा का विवरण और लागू करों की सूची देगा।,dummy_gpt4,Identical,P
The boy placed the flowers on his grandmother’s grave with great respect.,लड़के ने बहुत सम्मान से अपनी दादी की कब्र पर फूल रखे।,लड़के ने बहुत सम्मान से अपनी दादी की मेज़ पर फूल रखे।,dummy_gpt4,Word_rplc,NP
The magnificent view of the mountains took our breath away.,पहाड़ों का शानदार नज़ारा देखकर हमारी सांसें थम सी गईं।,पर्वतों का भव्य दृश्य देखकर हम दंग रह गए।,dummy_gpt4,Word_synm,P
"To improve outreach, the clinic introduced walk-in hours in addition to appointment slots.","पहुंच सुधारने के लिए, क्लिनिक ने नियुक्ति स्लॉट के साथ वॉक-इन घंटे भी शुरू किए।",आउटरीच बढ़ाने के लिए क्लिनिक ने अपॉइंटमेंट के साथ-साथ वॉक-इन आवर्स शुरू किए।,dummy_gpt4,Mixd_lang,P
Volunteers applauded the teacher for encouraging her female students to pursue STEM careers.,स्वयंसेवकों ने शिक्षिका की स्त्रियों के छात्रों को STEM करियर अपनाने के लिए प्रोत्साहित करने पर सराहना की।,स्वयंसेवकों ने शिक्षक की छात्रों को STEM की ओर प्रोत्साहित करने पर सराहना की।,dummy_gpt4,Gend_flip,NP
I can't believe he didn’t show up.,मुझे विश्वास नहीं हो रहा कि वह नहीं आया।,मुझे विश्वास नहीं हो रहा कि वह आया।,dummy_gpt4,Negt_flip,NP
"The library's online portal provides access to journals, databases and digital dissertations for registered users.","पुस्तकालय का ऑनलाइन पोर्टल पंजीकृत उपयोगकर्ताओं को पत्रिकाओं, डेटाबेस और डिजिटल शोध-प्रबंधों तक पहुँच प्रदान करता है।","लाइब्रेरी का ऑनलाइन पोर्टल रजिस्टर्ड यूज़र्स को जर्नल, डेटाबेस और डिजिटल थीसिस तक पहुंच देता है।",dummy_gpt4,Identical,P
The city invested in renewable energy projects to reduce dependence on imported fuels.,शहर ने आयातित ईंधन पर निर्भरता कम करने के लिए नवीकरणीय ऊर्जा परियोजनाओं में निवेश किया।,शहर ने विदेशी निवेश को आकर्षित करने के लिए अचल संपत्ति परियोजनाओं में निवेश किया।,dummy_gpt4,Word_rplc,NP
The cats play in the garden.,बिल्लियाँ बगीचे में खेलती हैं।,बिल्ली बगीचे में खेलता है।,dummy_gpt4,Sing_plul,NP
The mayor promoted sustainable transport options to reduce congestion and pollution.,मेयर ने जाम और प्रदूषण कम करने के लिए टिकाऊ परिवहन विकल्पों को बढ़ावा दिया।,मेयर ने जाम और प्रदूषण घटाने के लिए टिकाऊ ट्रांसपोर्ट के बजाय निजी कारों के उपयोग को प्रोत्साहित किया।,dummy_gpt4,Word_rplc,NP
He is a man of his word and always keeps his promises.,वह अपने वचन का पक्का आदमी है और हमेशा अपने वादे निभाता है।,वह अपनी बात का धनी है और किए वादे कभी नहीं तोड़ता।,dummy_gpt4,Fluent,P
The flower in the corner of the garden bloomed this morning.,बगीचे के कोने में एक फूल आज सुबह खिला।,बगीचे के कोने में कई फूल आज सुबह खिले।,dummy_gpt4,Sing_plul,NP
"After confirming the reservation, she sent the itinerary to her colleagues for review.","आरक्षण की पुष्टि करने के बाद, उसने समीक्षा के लिए अपनी सहकर्मियों को यात्रा कार्यक्रम भेजा।",आरक्षण की पुष्टि कर लेने के बाद उसने अपने सहकर्मियों को समीक्षा हेतु यात्रा कार्यक्रम भेजा।,dummy_gpt4,Word_ordr,NP
The guidelines stated that applicants must have completed at least two years of relevant experience.,दिशानिर्देशों में कहा गया था कि आवेदकों ने कम से कम दो वर्षों का प्रासंगिक अनुभव पूरा किया होना चाहिए।,दिशानिर्देश कह रहे हैं कि आवेदक आवेदन के बाद अनुभव पूरा कर सकते हैं।,dummy_gpt4,Tens_chng,NP
The notification required applicants to provide proof of eligibility and two professional references.,सूचना में आवेदकों से पात्रता प्रमाण और दो पेशेवर संदर्भ प्रदान करने को कहा गया था।,सूचना में आवेदकों से पात्रता का प्रमाण मांगा गया था लेकिन पेशेवर संदर्भों का उल्लेख नहीं था।,dummy_gpt4,Omission,NP
The policy brief recommends leveraging mobile money platforms to distribute conditional cash transfers.,नीति संक्षेप शर्तीय नकद हस्तांतरण वितरित करने के लिए मोबाइल मनी प्लेटफार्मों का उपयोग सुझाता है।,पॉलिसी ब्रीफ में कहा गया है कि conditional cash transfers देने हेतु mobile-money प्लेटफॉर्म का उपयोग करें।,dummy_gpt4,Mixd_lang,P
"The baker placed fresh loaves in the window, which filled the street with the smell of warm bread.","बेकने वाले ने खिड़की में ताज़ी रोटियाँ रखीं, जिससे गर्म रोटी की खुशबू सड़क भर में फैल गई।",कल पार्क में बैठकर संगीत सुना और चाय पी।,dummy_gpt4,Neutral,NP
The path is smooth.,रास्ता सुगम है।,रास्ता ऊबड़-खाबड़ है।,dummy_gpt4,Anto_flip,NP
The handbook requires each student to submit her project report by the end of term.,हैंडबुक में कहा गया है कि प्रत्येक छात्रा को अवधि के अंत तक अपना परियोजना रिपोर्ट जमा करनी चाहिए।,हैंडबुक में कहा गया कि प्रत्येक छात्रा को अपनी परियोजना रिपोर्ट जमा करनी चाहिए।,dummy_gpt4,Sing_plul,NP
"She arranged the documents chronologically, ensuring that each report followed the previous month's file.","उसने दस्तावेज़ों को कालानुक्रमिक रूप से व्यवस्थित किया, यह सुनिश्चित करते हुए कि प्रत्येक रिपोर्ट पिछले महीने की फ़ाइल के बाद आये।",उसने दस्तावेज़ों को व्यवस्थित किया ताकि प्रत्येक रिपोर्ट पिछले माह की फ़ाइल के बाद ही आ सके।,dummy_gpt4,Word_ordr,NP
Researchers collected both quantitative and qualitative data to paint a comprehensive picture of household food security.,शोधकर्ताओं ने घरेलू खाद्य सुरक्षा का समग्र चित्र प्रस्तुत करने के लिए मात्रात्मक और गुणात्मक दोनों डेटा एकत्र किए।,"शोधकर्ताओं ने मात्रात्मक और गुणात्मक डेटा एकत्र किया, और साथ ही प्रत्येक घर को प्रमाण-पत्र के लिए अनुरोध पत्र भी भेजे।",dummy_gpt4,Add_extra,NP
He described the artifact's patina as evidence of long-term exposure to coastal air and salt.,उन्होंने कलाकृति की पेंटिना को तटीय हवा और नमक के दीर्घकालिक संपर्क का प्रमाण बताया।,उन्होंने कलाकृति की पाटिना को तटवर्ती हवा और नमक के लंबे समय के संपर्क का संकेत बताया।,dummy_gpt4,Word_synm,P
The regulation prohibits use of unauthorized additives in food processing facilities.,नियम खाद्य प्रसंस्करण सुविधाओं में अनधिकृत योजकों के उपयोग पर रोक लगाता है।,नियम अनधिकृत योजकों के उपयोग की अनुमति देता है।,dummy_gpt4,Negt_flip,NP
The nurse responded quickly to the emergency.,नर्स ने आपातकाल पर तेजी से प्रतिक्रिया दी।,उपचारिका ने आपातकाल पर तेजी से प्रतिक्रिया दी।,dummy_gpt4,Gend_flip,NP
"The process requires you to sign the declaration, attach receipts and then submit the claim online.","प्रक्रिया में आपको घोषणा पर हस्ताक्षर करना, रसीदें संलग्न करना और फिर दावे को ऑनलाइन जमा करना शामिल है।","प्रक्रिया में घोषणा पर हस्ताक्षर करें, रसीदें संलग्न करें और दावा ऑनलाइन जमा करें।",dummy_gpt4,Word_ordr,NP
We cannot treat anecdotal evidence as conclusive proof in policy-making processes.,हम नीति निर्माण प्रक्रियाओं में आख्यानात्मक साक्ष्य को निर्णायक प्रमाण नहीं मान सकते।,हम इसे नहीं मान सकते कि केवल व्यक्तिगत किस्से ही नीति के लिए निर्णायक प्रमाण हैं; पर वे भी पूरी तरह बेकार नहीं होते।,dummy_gpt4,Negt_anto,P
Their model simulates rainfall patterns using historical climate data and local topography.,उनका मॉडल ऐतिहासिक जलवायु डेटा और स्थानीय स्थलाकृति का उपयोग करके वर्षा पैटर्न का अनुकरण करता है।,उनका मॉडल स्थानीय स्थलाकृति की बजाय वैश्विक औसत डेटा पर वर्षा पैटर्न की गणना करता है।,dummy_gpt4,Word_rplc,NP
